iter	RMSE
0	1378.372874
1	1371.630519
2	1365.566685
3	1360.51605
4	1356.298416
5	1352.175921
6	1348.855868
7	1346.01558
8	1343.454036
9	1341.382258
10	1339.225043
11	1337.507201
12	1335.907653
13	1334.493232
14	1333.297093
15	1332.328449
16	1331.310907
17	1330.431756
18	1329.658326
19	1329.049033
20	1328.514979
21	1327.98816
22	1327.461012
23	1327.074705
24	1326.791493
25	1326.429681
26	1326.08109
27	1325.790409
28	1325.474409
29	1325.255763
30	1325.086439
31	1324.871131
32	1324.659555
33	1324.494346
34	1324.339644
35	1324.182346
36	1324.027738
37	1323.890668
38	1323.739446
39	1323.625546
40	1323.486098
41	1323.378079
42	1323.253125
43	1323.176544
44	1323.117287
45	1323.008002
46	1322.921791
47	1322.836869
48	1322.764344
49	1322.721298
50	1322.598659
51	1322.555825
52	1322.488649
53	1322.400869
54	1322.329257
55	1322.293108
56	1322.219653
57	1322.152678
58	1322.102475
59	1322.062125
60	1322.010789
61	1321.953829
62	1321.925541
63	1321.868888
64	1321.80044
65	1321.738354
66	1321.703925
67	1321.665433
68	1321.621276
69	1321.579675
70	1321.513826
71	1321.479267
72	1321.465579
73	1321.446019
74	1321.425008
75	1321.407628
76	1321.370162
77	1321.328147
78	1321.288956
79	1321.257365
80	1321.202219
81	1321.184986
82	1321.140199
83	1321.110936
84	1321.051118
85	1321.001847
86	1320.962228
87	1320.934914
88	1320.918479
89	1320.90767
90	1320.864089
91	1320.81875
92	1320.806333
93	1320.765184
94	1320.729818
95	1320.705864
96	1320.639266
97	1320.614213
98	1320.561288
99	1320.519922
100	1320.498652
101	1320.462182
102	1320.453548
103	1320.434474
104	1320.412341
105	1320.392602
106	1320.353452
107	1320.341223
108	1320.312531
109	1320.275365
110	1320.22779
111	1320.204452
112	1320.1506
113	1320.126243
114	1320.086751
115	1320.045647
116	1320.02943
117	1320.00837
118	1319.992437
119	1319.9694
120	1319.949462
121	1319.91682
122	1319.890298
123	1319.843995
124	1319.833377
125	1319.824908
126	1319.794525
127	1319.792883
128	1319.749256
129	1319.709602
130	1319.698939
131	1319.653869
132	1319.632724
133	1319.600062
134	1319.581551
135	1319.54752
136	1319.529038
137	1319.492346
138	1319.451471
139	1319.405758
140	1319.375181
141	1319.332017
142	1319.272755
143	1319.227976
144	1319.178795
145	1319.166606
146	1319.112683
147	1319.058804
148	1319.024924
149	1319.002692
150	1318.981327
151	1318.950423
152	1318.911208
153	1318.870905
154	1318.81421
155	1318.756774
156	1318.703986
157	1318.654437
158	1318.614458
159	1318.5405
160	1318.471315
161	1318.439577
162	1318.404283
163	1318.356344
164	1318.328758
165	1318.291149
166	1318.241813
167	1318.198652
168	1318.143782
169	1318.129239
170	1318.076907
171	1318.01803
172	1317.980281
173	1317.919964
174	1317.887794
175	1317.839737
176	1317.784561
177	1317.743087
178	1317.683002
179	1317.662478
180	1317.582286
181	1317.531738
182	1317.483978
183	1317.450491
184	1317.415142
185	1317.309212
186	1317.247628
187	1317.214419
188	1317.173216
189	1317.124881
190	1317.080042
191	1317.033116
192	1316.996964
193	1316.967436
194	1316.936138
195	1316.873706
196	1316.81495
197	1316.792536
198	1316.753029
199	1316.699171
200	1316.65077
201	1316.615931
202	1316.582082
203	1316.549897
204	1316.478715
205	1316.420929
