iter	Passed	Remaining
0	4	4543
1	9	4506
2	13	4427
3	17	4345
4	21	4321
5	25	4297
6	30	4270
7	34	4294
8	39	4358
9	44	4398
10	48	4392
11	53	4385
12	57	4369
13	62	4367
14	66	4336
15	69	4303
16	74	4299
17	78	4269
18	82	4252
19	86	4249
20	91	4251
21	95	4264
22	100	4254
23	104	4236
24	108	4214
25	112	4207
26	116	4189
27	120	4171
28	124	4153
29	128	4142
30	131	4118
31	135	4108
32	140	4113
33	144	4099
34	148	4081
35	152	4070
36	155	4054
37	159	4046
38	163	4029
39	167	4016
40	171	4002
41	175	3996
42	179	3997
43	184	4000
44	188	4005
45	192	3997
46	196	3987
47	200	3977
48	204	3966
49	208	3954
50	211	3940
51	215	3932
52	219	3923
53	223	3911
54	227	3904
55	231	3897
56	235	3891
57	239	3883
58	242	3874
59	246	3865
60	250	3860
61	254	3851
62	258	3842
63	262	3832
64	265	3821
65	269	3813
66	273	3803
67	276	3793
68	280	3785
69	284	3781
70	288	3776
71	292	3770
72	295	3751
73	299	3743
74	302	3734
75	306	3727
76	310	3722
77	314	3715
78	318	3708
79	321	3700
80	325	3691
81	329	3692
82	333	3689
83	337	3682
84	341	3678
85	345	3674
86	349	3669
87	353	3667
88	357	3661
89	360	3647
90	364	3640
91	368	3634
92	371	3627
93	375	3620
94	379	3613
95	383	3609
96	387	3604
97	391	3599
98	395	3598
99	399	3598
100	403	3593
101	407	3588
102	411	3580
103	414	3574
104	418	3567
105	422	3562
106	426	3555
107	429	3549
108	433	3544
109	437	3539
110	441	3538
111	445	3534
112	449	3529
113	453	3524
114	457	3519
115	461	3513
116	464	3509
117	468	3503
118	472	3500
119	476	3493
120	480	3486
121	484	3484
122	488	3482
123	492	3477
124	495	3471
125	500	3468
126	503	3462
127	506	3447
128	509	3443
129	513	3437
130	517	3429
131	521	3427
132	525	3423
133	529	3421
134	533	3415
135	536	3411
136	540	3407
137	544	3402
138	548	3398
139	552	3394
140	556	3392
141	560	3388
142	564	3384
143	569	3384
144	573	3380
145	576	3372
146	580	3367
147	584	3363
148	588	3362
149	592	3356
150	596	3351
151	599	3346
152	603	3343
153	607	3339
154	611	3335
155	615	3332
156	619	3328
157	623	3324
158	627	3318
159	631	3314
160	635	3311
161	639	3307
162	643	3304
163	647	3300
164	651	3295
165	655	3292
166	659	3287
167	662	3282
168	666	3277
169	670	3272
170	673	3266
171	677	3262
172	681	3257
173	685	3253
174	689	3251
175	693	3247
176	697	3244
177	701	3241
178	705	3236
179	709	3231
180	713	3228
181	717	3224
182	721	3219
183	725	3215
184	729	3211
185	733	3208
186	737	3207
187	741	3201
188	745	3197
189	748	3192
190	752	3187
191	756	3183
192	760	3180
193	764	3175
194	768	3171
195	771	3166
196	775	3162
197	779	3158
198	784	3157
199	788	3153
200	792	3148
201	796	3144
202	799	3140
203	804	3137
204	808	3134
205	812	3130
206	815	3125
207	819	3120
208	823	3116
209	827	3113
210	832	3111
211	836	3108
212	840	3104
213	844	3100
214	847	3095
215	851	3091
216	855	3086
217	859	3082
218	863	3078
219	867	3075
220	871	3071
221	875	3067
222	879	3063
223	882	3058
224	886	3054
225	890	3050
226	894	3047
227	899	3044
228	902	3040
229	906	3036
230	910	3032
231	914	3028
232	918	3023
233	922	3019
234	926	3015
235	930	3010
236	934	3007
237	937	3003
238	941	2999
239	945	2995
